date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-02-09,Monday,DWC,5.854583333333333,3.646458333333333,432.1875,23.21125,63.513958333333335,2,32.2,,6.0,55,13
2026-03-03,Tuesday,DWC,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,5,44.1,,28.0,180,31
2026-03-05,Thursday,AERO,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,106,34.2,,28.0,352,38
2026-02-20,Friday,AERO,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,105,35.7,,18.0,139,29
2026-02-09,Monday,AERO,5.854583333333333,3.646458333333333,432.1875,23.21125,63.513958333333335,103,23.1,,12.0,105,11
2026-03-07,Saturday,AERO,6.169791666666666,3.7295833333333337,698.6666666666666,23.24833333333333,63.13520833333333,106,34.5,,30.0,408,39
2026-03-14,Saturday,AERO,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,101,17.0,,16.0,325,34
2026-02-26,Thursday,AERO,6.064791666666667,3.730625,606.2291666666666,23.171666666666667,63.78083333333333,101,23.9,,16.0,148,16
2026-02-06,Friday,AERO,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,101,20.9,,7.0,66,5
2026-02-20,Friday,DWC,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,3,34.1,,12.0,87,10
2026-02-16,Monday,AERO,5.894166666666667,3.700416666666667,502.8541666666667,23.142291666666665,62.814166666666665,106,31.4,,16.0,108,23
2026-03-05,Thursday,DWC,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,5,44.9,,32.0,190,31
2026-03-12,Thursday,DWC,6.239791666666666,3.67875,755.3333333333334,23.250625,62.86541666666667,1,34.3,,31.0,378,53
2026-02-20,Friday,DWC,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,4,30.8,,15.0,115,19
2026-02-13,Friday,DWC,5.904583333333334,3.724166666666666,472.5833333333333,23.140625,63.15166666666667,2,33.0,,8.0,62,13
2026-02-11,Wednesday,DWC,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,3,38.7,,10.0,41,6
2026-02-06,Friday,DWC,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,4,28.1,,8.0,51,11
2026-02-09,Monday,AERO,5.854583333333333,3.646458333333333,432.1875,23.21125,63.513958333333335,105,33.4,,5.0,81,14
2026-02-13,Friday,DWC,5.904583333333334,3.724166666666666,472.5833333333333,23.140625,63.15166666666667,5,40.0,,10.0,47,11
2026-02-19,Thursday,AERO,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,104,36.7,,18.0,95,14
2026-03-16,Monday,AERO,6.276875,3.726458333333333,786.5625,23.263125,63.2775,101,17.0,,16.0,322,34
2026-02-14,Saturday,AERO,5.926458333333333,3.5860416666666666,482.5,23.159375,63.02458333333333,104,35.4,,11.0,85,11
2026-02-06,Friday,AERO,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,104,33.9,,9.0,58,7
2026-02-16,Monday,DWC,5.894166666666667,3.700416666666667,502.8541666666667,23.142291666666665,62.814166666666665,1,26.8,,18.0,128,18
2026-02-06,Friday,AERO,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,102,22.4,,8.0,31,6
2026-02-24,Tuesday,DWC,6.03625,3.7708333333333335,584.6875,23.178541666666664,63.379375,1,29.5,,24.0,193,39
2026-03-13,Friday,AERO,6.224791666666667,3.689166666666667,763.2708333333334,23.370625,62.821041666666666,104,42.2,,54.0,547,54
2026-02-16,Monday,AERO,5.894166666666667,3.700416666666667,502.8541666666667,23.142291666666665,62.814166666666665,101,22.3,,13.0,120,12
2026-03-17,Tuesday,DWC,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,5,48.0,,50.0,352,39
